iter	Logloss
0	0.6463485186
1	0.6058611984
2	0.5703544945
3	0.539157603
4	0.5117363074
5	0.4874873274
6	0.46583858
7	0.4466051501
8	0.4296012678
9	0.4142600439
10	0.4005321956
11	0.3883661781
12	0.37737087
13	0.3674853874
14	0.3588141412
15	0.3508525879
16	0.3437124175
17	0.3372968641
18	0.3315453956
19	0.326416199
20	0.3216867762
21	0.3175227089
22	0.3137047519
23	0.3103060228
24	0.3073354616
25	0.3046083397
26	0.3023738693
27	0.3002228841
28	0.2983123181
29	0.2966074462
30	0.2950384057
31	0.2936500964
32	0.2924341457
33	0.291472682
34	0.2905252267
35	0.2894762458
36	0.2885812918
37	0.2875955158
38	0.2868235119
39	0.28630124
40	0.2856396851
41	0.285213879
42	0.2845948531
43	0.2843257792
44	0.2837184654
45	0.2834581715
46	0.2831144218
47	0.2825339825
48	0.2823526885
49	0.2819425154
50	0.2816790251
51	0.2812944867
52	0.2812008424
53	0.2810608785
54	0.2803248106
55	0.2795367193
56	0.2790703156
57	0.2786586744
58	0.2780450384
59	0.2776996225
60	0.2773904328
61	0.2769651408
62	0.2767079734
63	0.2763663455
64	0.2761880577
65	0.2758727298
66	0.2756126234
67	0.2754016053
68	0.2752302358
69	0.2749457352
70	0.2740155541
71	0.2733821059
72	0.2725111685
73	0.2718739208
74	0.2712676594
75	0.2708251578
76	0.2702620514
77	0.2701982799
78	0.2699350183
79	0.2698191511
80	0.2694851362
81	0.2690559602
82	0.2687800771
83	0.2684219751
84	0.2683360198
85	0.2678065815
86	0.2676612285
87	0.2675414988
88	0.2673364829
89	0.2672222424
90	0.2671688019
91	0.2669976336
92	0.2667382677
93	0.2664950389
94	0.2664078052
95	0.2661917591
96	0.2659515615
97	0.2658161755
98	0.2657274283
99	0.2654384958
100	0.2653800228
101	0.2652082147
102	0.2651857797
103	0.2649344123
104	0.2648446944
105	0.2646873852
106	0.2644911455
107	0.2644574836
108	0.2643208953
109	0.2643082553
110	0.2642675134
111	0.2641735021
112	0.264086857
113	0.263838175
114	0.2637095454
115	0.2634969813
116	0.2634352184
117	0.2632474513
118	0.2632206457
119	0.2630991672
120	0.2628746608
121	0.2627171552
122	0.2625670413
123	0.2624768918
124	0.2624695299
125	0.2623853244
126	0.2622902815
127	0.2622271386
128	0.2621752288
129	0.2619725705
130	0.2618185956
131	0.2617440657
132	0.2616140733
133	0.2615699506
134	0.2614509665
135	0.2611785031
136	0.2609887138
137	0.2608833979
138	0.2608339185
139	0.2607490638
140	0.2606384198
141	0.2604333585
142	0.2603272996
143	0.2601802702
144	0.2601732619
145	0.2601267018
146	0.2599610116
147	0.2599109204
148	0.2598031239
149	0.2597043075
150	0.2595601038
151	0.2594273425
152	0.2592975494
153	0.2592054277
154	0.259179412
155	0.259063983
156	0.2589349219
157	0.2588024248
158	0.258662789
159	0.2113676532
160	0.2113126784
161	0.2113113758
162	0.2112319858
163	0.2111404258
164	0.211084957
165	0.2110496595
166	0.2109769648
167	0.2109301388
168	0.2108745371
169	0.2107622488
170	0.2106859238
171	0.21057181
172	0.2105186282
173	0.2104079802
174	0.2103017913
175	0.2102450452
176	0.21016902
177	0.2101029148
178	0.2100284818
179	0.2099421982
