iter	Passed	Remaining
0	106	19123
1	139	12396
2	179	10572
3	217	9553
4	274	9622
5	292	8493
6	326	8079
7	421	9068
8	436	8301
9	455	7750
10	500	7683
11	545	7637
12	590	7591
13	633	7516
14	646	7110
15	665	6817
16	698	6697
17	739	6653
18	796	6746
19	825	6602
20	916	6940
21	960	6899
22	1021	6970
23	1043	6784
24	1064	6597
25	1120	6635
26	1134	6430
27	1193	6477
28	1218	6347
29	1242	6212
30	1282	6162
31	1313	6074
32	1334	5945
33	1386	5955
34	1458	6044
35	1550	6203
36	1609	6221
37	1700	6355
38	1792	6481
39	1831	6410
40	1933	6556
41	1991	6544
42	2121	6760
43	2143	6626
44	2249	6749
45	2306	6720
46	2458	6956
47	2616	7196
48	2689	7189
49	2914	7576
50	3240	8195
51	3570	8790
52	3621	8677
53	3658	8536
54	3727	8470
55	3858	8543
56	3892	8399
57	3951	8310
58	4055	8316
59	4105	8211
60	4145	8086
61	4258	8104
62	4286	7960
63	4392	7962
64	4503	7967
65	4571	7896
66	4674	7884
67	4729	7789
68	4896	7877
69	5026	7898
70	5143	7895
71	5182	7774
72	5289	7753
73	5382	7710
74	5403	7564
75	5439	7444
76	5505	7364
77	5542	7247
78	5641	7212
79	5667	7084
80	5702	6970
81	5758	6882
82	5802	6781
83	5848	6683
84	5932	6629
85	6073	6638
86	6171	6597
87	6213	6495
88	6256	6397
89	6356	6356
90	6383	6243
91	6418	6139
92	6448	6032
93	6540	5983
94	6563	5872
95	6609	5783
96	6720	5750
97	6857	5737
98	6951	5687
99	7055	5644
100	7089	5545
101	7119	5444
102	7234	5408
103	7329	5355
104	7423	5302
105	7520	5249
106	7624	5201
107	7663	5109
108	7692	5011
109	7739	4925
110	7762	4825
111	7790	4729
112	7823	4638
113	7933	4593
114	8057	4554
115	8162	4503
116	8258	4446
117	8351	4388
118	8397	4304
119	8490	4245
120	8593	4190
121	8697	4135
122	8841	4097
123	8935	4035
124	8968	3946
125	9018	3865
126	9122	3806
127	9159	3721
128	9267	3663
129	9366	3602
130	9486	3548
131	9528	3464
132	9633	3404
133	9734	3341
134	9874	3291
135	9971	3226
136	10106	3172
137	10204	3105
138	10229	3017
139	10331	2951
140	10424	2883
141	10530	2818
142	10628	2749
143	10762	2690
144	10815	2610
145	10843	2525
146	10954	2459
147	11054	2390
148	11167	2323
149	11265	2253
150	11367	2183
151	11466	2112
152	11582	2044
153	11677	1971
154	11771	1898
155	11878	1827
156	11975	1754
157	12128	1688
158	12231	1615
159	12266	1533
160	12365	1459
161	12385	1376
162	12482	1301
163	12579	1227
164	12685	1153
165	12824	1081
166	12922	1005
167	13026	930
168	13130	854
169	13226	778
170	13325	701
171	13421	624
172	13516	546
173	13609	469
174	13703	391
175	13794	313
176	13895	235
177	13987	157
178	14117	78
179	14215	0
